user_id,cc_id,num_cc,channel,trial_money,trial_nums,trial_price,teacher_id,teacher_type,is_weekend,num_days_reserve,student_evaluation,has_comment,trial_issue,if_converted
16448486,100.0,4.0,97.0,0.0,1,0.0,677,2,1,11.0,13.0,0,0,0
16531800,650.0,2.0,2045.0,0.0,1,0.0,1241,2,0,7.0,10.0,0,0,0
16532204,100.0,2.0,97.0,0.0,1,0.0,911,2,0,8.0,7.0,0,0,0
131946,0.0,0.0,242.0,0.0,1,0.0,298,2,0,9.0,3.5,0,0,0
135946,0.0,0.0,0.0,0.0,2,0.0,123,5,0,8.0,3.5,0,0,0
131651,0.0,0.0,99.0,29.0,1,29.0,300,5,0,2.0,3.5,0,0,0
131652,0.0,0.0,99.0,28.0,1,28.0,308,2,1,7.0,3.5,0,0,0
131655,0.0,0.0,99.0,5.0,1,5.0,205,2,0,4.0,3.5,0,0,0
131660,0.0,0.0,99.0,39.0,1,39.0,213,2,0,8.0,3.5,0,0,0
131681,0.0,0.0,0.0,10.0,1,10.0,274,5,1,6.0,3.5,0,0,0
131691,0.0,0.0,99.0,38.0,1,38.0,213,2,1,10.0,3.5,0,0,0
131704,0.0,0.0,99.0,38.0,1,38.0,231,2,0,2.0,3.5,0,0,0
131750,0.0,0.0,99.0,240.0,1,240.0,203,2,0,33.0,3.5,0,0,0
131759,0.0,0.0,99.0,38.0,1,38.0,198,5,0,5.0,3.5,0,0,0
131823,0.0,0.0,99.0,29.0,1,29.0,337,6,0,2.0,3.5,0,0,0
131913,0.0,0.0,99.0,29.0,1,29.0,298,2,0,8.0,3.5,0,0,0
131973,0.0,0.0,99.0,12.0,1,12.0,5,1,0,0.0,3.5,0,0,0
132179,0.0,0.0,99.0,38.0,1,38.0,255,2,0,4.0,3.5,0,0,0
132213,54.0,1.0,0.0,28.0,1,28.0,293,5,0,17.0,3.5,0,0,1
132227,0.0,0.0,99.0,18.0,1,18.0,203,2,1,47.0,3.5,0,0,0
132236,0.0,0.0,94.0,23.8,1,23.8,325,2,0,8.0,3.5,0,0,0
132242,0.0,0.0,99.0,28.0,1,28.0,333,5,0,1.0,3.5,0,0,0
132401,106.0,5.0,99.0,18.0,1,18.0,173,1,0,6.0,3.5,0,0,0
132429,0.0,0.0,99.0,38.0,1,38.0,213,2,0,23.0,3.5,0,0,0
132432,0.0,0.0,99.0,18.0,1,18.0,290,1,0,5.0,3.5,0,0,0
132504,0.0,0.0,99.0,9.8,1,9.8,274,5,0,9.0,3.5,0,0,0
133096,0.0,0.0,99.0,9.9,1,9.9,317,2,0,0.0,3.5,0,1,0
133124,0.0,0.0,99.0,9.8,1,9.8,291,2,0,3.0,3.5,0,0,0
133162,0.0,0.0,99.0,9.9,1,9.9,141,2,1,8.0,3.5,0,0,0
133168,0.0,0.0,99.0,24.0,1,24.0,203,2,1,11.0,3.5,0,0,0
133444,0.0,0.0,99.0,9.8,1,9.8,299,2,0,8.0,3.5,0,0,0
133560,59.0,6.0,99.0,9.8,1,9.8,239,2,0,3.0,3.5,0,0,0
133612,0.0,0.0,99.0,9.8,1,9.8,231,2,0,4.0,3.5,0,0,0
133655,0.0,0.0,94.0,17.0,1,17.0,377,2,1,2.0,3.5,0,0,0
133660,0.0,0.0,99.0,28.0,1,28.0,377,2,1,3.0,3.5,0,0,0
133728,179.0,1.0,99.0,9.8,1,9.8,127,2,0,2.0,3.5,0,0,0
133747,460.0,5.0,99.0,28.0,1,28.0,299,2,0,2.0,3.5,0,0,0
133801,0.0,0.0,99.0,9.8,1,9.8,5,1,0,5.0,3.5,0,0,0
133809,0.0,0.0,99.0,9.9,1,9.9,218,2,0,3.0,3.5,0,0,1
133835,106.0,3.0,99.0,9.8,1,9.8,333,5,0,1.0,3.5,0,0,0
133904,0.0,0.0,99.0,9.8,1,9.8,120,5,1,6.0,3.5,0,0,0
133905,0.0,0.0,0.0,9.9,1,9.9,298,2,0,0.0,3.05,0,0,0
133923,377.0,5.0,94.0,9.8,1,9.8,255,2,1,27.0,3.5,0,0,0
134035,0.0,0.0,99.0,9.8,1,9.8,299,2,1,7.0,3.5,0,0,0
134098,235.0,5.0,92.0,9.9,1,9.9,362,2,1,9.0,3.5,0,0,0
134106,0.0,0.0,99.0,9.8,1,9.8,362,2,0,5.0,3.5,0,0,0
134246,0.0,0.0,99.0,9.8,1,9.8,293,5,0,5.0,3.5,0,0,0
134254,0.0,0.0,99.0,9.8,1,9.8,127,2,0,4.0,3.5,0,0,0
134274,0.0,0.0,92.0,9.9,1,9.9,338,5,0,5.0,3.5,0,0,0
134301,0.0,0.0,99.0,9.9,1,9.9,377,2,0,8.0,3.5,0,0,0
134342,0.0,0.0,99.0,9.8,1,9.8,205,2,0,4.0,3.5,0,0,0
134402,0.0,0.0,99.0,9.8,1,9.8,253,2,1,3.0,3.5,0,0,0
134408,319.0,5.0,99.0,9.8,1,9.8,127,2,1,1.0,3.5,0,0,0
134475,0.0,0.0,99.0,9.0,1,9.0,123,5,0,3.0,3.5,0,0,0
134479,0.0,0.0,99.0,9.9,1,9.9,123,5,0,4.0,3.5,0,0,0
134753,0.0,0.0,0.0,9.0,1,9.0,274,5,0,6.0,3.5,0,0,0
135797,0.0,0.0,99.0,9.9,1,9.9,423,2,0,9.0,3.5,0,0,0
135819,0.0,0.0,99.0,9.9,1,9.9,390,5,1,7.0,3.5,0,0,0
136006,460.0,5.0,99.0,9.9,1,9.9,423,2,0,4.0,3.5,0,0,0
136546,0.0,0.0,99.0,9.8,1,9.8,177,2,1,5.0,3.5,0,0,0
136626,0.0,0.0,0.0,0.0,1,0.0,326,5,1,6.0,3.5,0,0,0
136737,0.0,0.0,99.0,29.0,1,29.0,426,2,1,9.0,3.5,0,0,0
136738,235.0,1.0,99.0,0.0,1,0.0,393,2,0,2.0,3.5,0,0,0
137140,0.0,0.0,99.0,9.9,1,9.9,397,2,0,5.0,2.31,0,0,0
137414,443.0,9.0,99.0,9.9,1,9.9,386,2,0,10.0,2.8,0,0,0
137589,319.0,3.0,99.0,9.9,1,9.9,423,2,1,9.0,3.2,0,0,0
137804,0.0,0.0,99.0,9.0,1,9.0,426,2,0,4.0,1.31,0,0,0
137990,319.0,1.0,99.0,9.9,1,9.9,451,2,0,7.0,0.57,0,0,0
138021,319.0,1.0,99.0,9.9,1,9.9,421,2,0,9.0,3.02,0,0,0
138032,319.0,1.0,99.0,9.9,1,9.9,207,2,0,12.0,4.88,0,0,0
138059,319.0,1.0,99.0,9.9,1,9.9,318,2,1,8.0,1.94,0,0,0
138198,319.0,1.0,99.0,19.0,1,19.0,465,10,0,1.0,3.5,0,1,0
138221,319.0,1.0,99.0,9.9,1,9.9,377,2,1,20.0,2.32,0,0,0
138265,319.0,1.0,99.0,19.0,1,19.0,520,10,1,6.0,2.4,0,0,0
138440,167.0,10.0,99.0,9.9,1,9.9,291,2,0,4.0,3.84,0,0,0
138548,329.0,1.0,99.0,9.9,1,9.9,369,2,0,5.0,2.54,0,0,0
138565,460.0,7.0,99.0,19.0,1,19.0,356,5,0,2.0,3.5,0,0,0
138572,319.0,2.0,99.0,9.9,1,9.9,397,2,0,5.0,3.05,0,0,0
138709,59.0,3.0,99.0,9.9,1,9.9,309,2,0,7.0,2.99,0,0,0
139049,0.0,6.0,99.0,6.2,1,6.2,323,5,0,2.0,0.24,0,0,0
139184,319.0,2.0,99.0,9.9,1,9.9,205,2,0,2.0,2.44,0,0,0
139537,460.0,10.0,99.0,9.9,1,9.9,423,2,0,3.0,3.66,0,0,0
139717,319.0,2.0,99.0,9.9,1,9.9,397,2,0,7.0,0.78,0,1,0
139752,319.0,2.0,99.0,9.9,1,9.9,404,5,1,5.0,0.6,0,0,0
139753,319.0,3.0,99.0,9.9,1,9.9,323,5,1,6.0,0.21,0,0,0
139889,0.0,0.0,99.0,9.9,1,9.9,426,2,1,8.0,0.44,0,0,0
140090,319.0,3.0,99.0,9.9,1,9.9,445,2,0,7.0,1.53,0,1,0
