user_id,age,gender,job,after_policy,product_want,study_level,study_time,study_budget,purpose,learnt_offline,learnt_online,learnt_app,learnt_movie,learnt_book,learnt_foreigner,learnt_work,learnt_media,learnt_other,int_listen,int_speak,int_read,int_write,int_vocab,int_grammar,int_fluency,int_interpret,int_translation,int_business,int_talk,int_other,teacher_id,t_gender,t_nationality,t_chin_level,t_price,t_accent,t_speech_rate,t_atmosphere,t_correct_pronunce,t_correct_grammar,t_degree,t_humorous,t_responsible,t_active,t_patient,t_goodlook,t_experienced,t_TESOL,t_TEFL,t_ESL,t_TEYL,t_CELTA,t_Qualified,channel,product_id,lesson,unit_price,product_money,num_cancel,num_completed,num_student_absent,num_teacher_absent,per_completed,avg_days_class,per_weekday,per_weekend,num_teacher,num_issue,total_point,material,avg_days_reserve,std_days_between_class,cr_id,if_repurchase
159628,418.0,0,0,0,569.0,428.0,471.0,0.0,23.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,209,0,413.0,761.0,169.0,1428.0,1472.0,6.0,7.0,7.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,99.0,25.0,33.0,168.1,5548.0,0.0,8.0,0.0,1.0,0.24,12.375,0.875,0.125,5.0,0.0,4.72,4.7,18.125,6.279217421667403,54.0,0
159841,0.0,2,16,0,1035.0,428.0,471.0,476.0,31.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,663,1,413.0,763.0,192.0,1424.0,1475.0,6.0,7.0,7.0,1434.0,0,0,0,0,1,0,0,1,0,0,0,0,99.0,25.0,32.0,189.0,6048.0,4.0,21.0,1.0,1.0,0.66,4.571428571428571,0.9523809523809524,0.0476190476190476,3.0,0.0,4.72,4.7,6.904761904761905,2.7229186022144907,54.0,1
161554,1004.0,1,16,0,567.0,428.0,471.0,476.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,1,270.0,760.0,240.0,1428.0,1472.0,7.0,10.0,10.0,1434.0,1,1,1,0,1,0,0,0,0,1,0,0,99.0,25.0,12.0,166.6,1999.0,0.0,2.0,0.0,0.0,0.17,18.0,0.5,0.5,1.0,0.0,4.72,4.7,7.0,10.606601717798211,54.0,1
162718,0.0,0,0,0,569.0,428.0,468.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,591,1,337.0,763.0,240.0,1425.0,1475.0,7.0,7.0,7.0,1434.0,1,1,1,1,1,1,1,0,0,0,0,0,0.0,25.0,32.0,179.6,5748.0,12.0,22.0,1.0,1.0,0.69,4.363636363636363,0.8181818181818182,0.1818181818181818,11.0,0.0,5.0,5.0,15.5,13.375123902003278,319.0,0
162793,0.0,0,0,0,567.0,428.0,469.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,404,1,214.0,762.0,155.0,1428.0,1470.0,7.0,8.0,8.0,1434.0,0,1,0,1,1,1,0,0,0,0,0,0,99.0,23.0,30.0,104.7,3140.0,0.0,1.0,0.0,0.0,0.03,90.0,1.0,0.0,1.0,0.0,4.72,4.7,10.0,0.0,638.0,0
163470,0.0,0,0,0,567.0,422.0,471.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,86,1,220.0,763.0,59.0,1429.0,1475.0,4.0,4.0,4.0,1434.0,0,1,1,1,0,0,0,0,1,0,0,0,99.0,21.0,51.0,78.4,3999.0,8.0,23.0,0.0,0.0,0.45,6.652173913043479,0.9565217391304348,0.0434782608695652,7.0,0.0,4.72,4.7,25.30434782608696,14.451499915315765,319.0,0
165495,418.0,0,16,0,567.0,428.0,0.0,0.0,31.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,75,1,413.0,763.0,240.0,1424.0,1472.0,7.0,8.0,8.0,1434.0,1,1,1,1,0,1,0,0,0,0,0,0,99.0,25.0,10.0,190.0,1900.0,1.0,2.0,0.0,0.0,0.2,15.0,1.0,0.0,1.0,0.0,4.72,4.7,45.5,3.5355339059327378,638.0,0
165706,0.0,0,16,0,567.0,426.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,706,1,220.0,763.0,71.0,1428.0,1471.0,5.0,8.0,8.0,1434.0,1,1,0,1,0,0,0,0,0,0,0,0,99.0,21.0,24.0,59.1,1419.0,1.0,3.0,0.0,0.0,0.12,24.0,1.0,0.0,3.0,0.0,4.333333333333333,4.666666666666667,3.333333333333333,18.82374387132733,319.0,0
166758,417.0,0,16,0,567.0,428.0,0.0,0.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,428.0,763.0,169.0,1424.0,1475.0,7.0,9.0,10.0,1434.0,1,0,1,1,0,0,1,0,1,0,0,0,99.0,25.0,32.0,150.0,4800.0,0.0,3.0,0.0,0.0,0.09,32.0,0.6666666666666666,0.3333333333333333,3.0,0.0,4.72,4.7,7.333333333333333,4.041451884327381,638.0,0
168766,418.0,0,16,0,570.0,428.0,0.0,476.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,1,220.0,763.0,77.0,1428.0,1475.0,3.0,2.0,2.0,1434.0,1,0,0,0,0,0,0,0,1,0,0,0,99.0,38.0,7.0,79.9,559.0,2.0,2.0,0.0,0.0,0.29,10.5,1.0,0.0,2.0,0.0,4.72,4.7,3.5,0.0,319.0,1
170622,0.0,0,0,0,567.0,425.0,469.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,842,0,220.0,763.0,75.0,1428.0,1475.0,7.0,9.0,9.0,1435.0,0,1,0,1,0,1,1,0,1,0,0,0,99.0,21.0,34.0,64.7,2200.0,0.0,6.0,0.0,0.0,0.18,17.0,0.6666666666666666,0.3333333333333333,1.0,0.0,4.72,4.7,4.0,5.564770136013406,319.0,0
16433669,0.0,0,0,0,567.0,423.0,468.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,842,0,220.0,763.0,75.0,1428.0,1475.0,7.0,9.0,9.0,1435.0,0,1,0,1,0,1,1,0,1,0,0,0,99.0,21.0,32.0,62.5,2000.0,4.0,31.0,1.0,0.0,0.97,3.096774193548387,0.9032258064516128,0.0967741935483871,12.0,1.0,4.72,4.7,6.612903225806452,2.4791604544965997,667.0,1
16434434,1004.0,1,16,0,567.0,428.0,471.0,476.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,220.0,763.0,75.0,1428.0,1475.0,7.0,9.0,9.0,1435.0,0,1,0,1,0,1,1,0,1,0,0,0,99.0,21.0,16.0,69.0,1104.0,0.0,1.0,0.0,1.0,0.06,48.0,1.0,0.0,1.0,0.0,4.72,4.7,6.0,0.0,54.0,0
16436242,420.0,1,15,0,567.0,428.0,471.0,476.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,220.0,763.0,66.0,1424.0,1472.0,7.0,6.0,7.0,1434.0,0,1,1,1,0,0,0,0,0,0,0,0,99.0,21.0,16.0,62.5,1000.0,1.0,6.0,0.0,0.0,0.38,8.0,0.8333333333333334,0.1666666666666666,4.0,0.0,4.72,4.7,2.833333333333333,8.780660567406077,667.0,1
