user_id,age,gender,job,after_policy
131638,420.0,1,0,0
131639,417.0,0,0,0
131640,413.0,2,0,0
131641,416.0,0,0,0
131642,420.0,0,0,0
131643,418.0,1,0,0
131644,0.0,1,4,0
131645,418.0,0,0,0
131646,0.0,0,0,0
131647,420.0,0,0,0
131648,420.0,0,0,0
131649,420.0,0,0,0
131650,0.0,2,0,0
131651,414.0,2,0,0
131652,413.0,2,0,0
131653,0.0,1,7,0
131654,416.0,0,0,0
131655,0.0,1,0,0
131656,412.0,2,0,0
131657,420.0,0,0,0
131658,412.0,2,0,0
131659,414.0,2,0,0
131660,416.0,1,0,0
131661,416.0,0,0,0
131662,417.0,0,0,0
131663,411.0,2,0,0
131664,418.0,1,0,0
131665,412.0,2,0,0
131666,0.0,2,0,0
131667,418.0,0,0,0
131668,0.0,0,0,0
131669,420.0,1,0,0
131670,419.0,0,0,0
131671,416.0,1,0,0
131672,418.0,0,0,0
131673,411.0,2,0,0
131674,412.0,2,0,0
131675,417.0,1,0,0
131676,419.0,1,0,0
131677,411.0,2,0,0
131678,420.0,0,0,0
131679,420.0,1,0,0
131680,416.0,0,0,0
131681,411.0,2,0,0
131682,0.0,0,0,0
131683,0.0,0,0,0
131684,0.0,0,0,0
131685,412.0,2,0,0
131686,412.0,2,0,0
131687,412.0,2,0,0
131688,417.0,0,0,0
131689,417.0,0,0,0
131690,419.0,0,0,0
131691,416.0,0,0,0
131692,411.0,2,0,0
131693,0.0,0,0,0
131694,416.0,1,0,0
131695,0.0,0,0,0
131696,418.0,0,0,0
131697,0.0,0,0,0
131698,416.0,0,0,0
131699,416.0,1,0,0
131701,417.0,0,0,0
131702,0.0,0,0,0
131703,0.0,0,0,0
131704,416.0,1,0,0
131705,420.0,1,0,0
131706,418.0,0,0,0
131707,420.0,1,0,0
131708,417.0,0,0,0
131709,413.0,2,0,0
131710,411.0,2,0,0
131711,419.0,0,0,0
131712,419.0,1,0,0
131713,416.0,0,0,0
131714,417.0,1,0,0
131715,416.0,1,0,0
131716,414.0,2,0,0
131717,420.0,0,0,0
131718,416.0,0,0,0
131719,419.0,1,0,0
131720,0.0,2,0,0
131721,416.0,1,0,0
131722,418.0,0,0,0
131723,418.0,0,0,0
131724,419.0,0,0,0
131725,416.0,1,0,0
131726,0.0,1,0,0
131727,419.0,0,0,0
131728,418.0,0,0,0
131729,416.0,0,0,0
131730,412.0,2,0,0
131731,416.0,0,0,0
131732,418.0,0,0,0
131733,413.0,2,0,0
131734,412.0,2,0,0
131735,419.0,1,0,0
131736,416.0,0,0,0
131737,416.0,0,0,0
131738,418.0,1,0,0
131739,0.0,1,0,0
131740,420.0,0,0,0
131741,411.0,2,0,0
131742,420.0,0,0,0
131743,416.0,0,0,0
131744,411.0,2,0,0
131745,419.0,0,0,0
131746,412.0,2,0,0
131747,417.0,0,0,0
131748,420.0,0,0,0
131749,419.0,0,0,0
131750,416.0,1,0,0
131751,412.0,2,0,0
131752,420.0,0,0,0
131753,416.0,0,0,0
131754,418.0,0,0,0
131755,417.0,1,0,0
131756,418.0,0,0,0
131757,0.0,0,0,0
131758,0.0,0,0,0
131759,420.0,0,0,0
131760,420.0,1,0,0
131761,420.0,0,0,0
131762,411.0,2,0,0
131763,420.0,0,0,0
131764,0.0,0,0,0
131765,0.0,0,0,0
131766,0.0,0,0,0
131767,412.0,2,0,0
131768,420.0,0,0,0
131769,416.0,0,0,0
131770,418.0,0,0,0
131771,420.0,0,0,0
131772,416.0,1,0,0
131773,0.0,0,0,0
131774,412.0,2,0,0
131775,0.0,0,0,0
131776,416.0,0,0,0
131777,416.0,0,0,0
131778,0.0,0,0,0
131779,420.0,1,0,0
131780,420.0,0,0,0
131781,411.0,2,0,0
131782,414.0,2,0,0
131783,0.0,0,0,0
131784,414.0,2,0,0
131785,420.0,0,0,0
131786,0.0,0,0,0
131787,420.0,1,0,0
131788,418.0,0,0,0
131789,416.0,1,0,0
131790,416.0,1,0,0
131791,0.0,0,0,0
131792,420.0,0,0,0
131793,0.0,0,0,0
131794,416.0,1,0,0
131795,417.0,0,0,0
131796,420.0,0,0,0
131797,416.0,0,0,0
131798,419.0,0,0,0
131799,420.0,0,0,0
131800,419.0,0,0,0
131801,418.0,0,0,0
131802,419.0,0,0,0
131803,412.0,2,0,0
131804,420.0,1,0,0
131805,0.0,0,0,0
131806,412.0,2,0,0
131807,0.0,0,0,0
131808,416.0,1,0,0
131809,416.0,1,0,0
131810,418.0,0,0,0
131811,419.0,0,0,0
131812,412.0,2,0,0
131813,420.0,0,0,0
131814,420.0,1,0,0
131815,420.0,1,0,0
131816,416.0,0,0,0
131817,412.0,2,0,0
131818,418.0,0,0,0
131819,412.0,2,0,0
131820,0.0,0,0,0
131821,0.0,0,0,0
131822,0.0,2,0,0
131823,416.0,0,0,0
131824,0.0,0,0,0
131825,0.0,2,0,0
131826,420.0,0,0,0
131827,416.0,0,0,0
131828,412.0,2,0,0
131829,420.0,1,0,0
131830,417.0,0,0,0
131831,413.0,2,0,0
